"";"title";"year";"length";"budget";"rating";"votes"
"1";"$windle";2002;93;NA;5,3;200
"2";"'A' gai waak";1983;106;NA;7,1;1259
"3";"'A' gai waak juk jaap";1987;101;NA;7,2;614
"4";"'R Xmas";2001;83;NA;4,9;288
"5";"'Til There Was You";1997;113;23000000;4,8;799
"6";"10 Things I Hate About You";1999;97;16000000;6,7;19095
"7";"100 Girls";2000;90;NA;5,8;3349
"8";"100 Mile Rule";2002;98;1100000;5,6;181
"9";"11:11";2004;95;NA;4,3;222
"10";"13 Dead Men";2003;85;NA;2,2;69
"11";"13 Going On 30";2004;98;37000000;6,4;7859
"12";"13 Moons";2002;93;NA;5,6;196
"13";"13th Warrior, The";1999;102;85000000;6,1;14344
"14";"15 Minutes";2001;120;42000000;6,1;10866
"15";"1776";1972;180;4000000;7,3;1754
"16";"18 Shades of Dust";1999;87;NA;4,5;43
"17";"19 Months";2002;77;NA;5,3;51
"18";"1999";1998;92;NA;5,3;93
"19";"2 Days in the Valley";1996;104;NA;6,4;5057
"20";"2 Fast 2 Furious";2003;107;76000000;5,1;9556
"21";"20 Dates";1998;87;60000;5,4;841
"22";"200 Cigarettes";1999;101;6000000;5,4;4514
"23";"2001 Yonggary";1999;99;NA;3,1;241
"24";"2001: A Space Travesty";2000;99;26000000;2,5;2023
"25";"2009: Lost Memories";2002;136;NA;6,6;639
"26";"2046";2004;129;12000000;7,6;2663
"27";"21 Grams";2003;124;20000000;8;21857
"28";"24 7: Twenty Four Seven";1997;96;NA;6,7;504
"29";"24 Hour Party People";2002;117;NA;7,2;3603
"30";"24 Hour Woman, The";1999;93;2500000;5,6;149
"31";"24 Hours in London";2000;90;NA;3,8;242
"32";"24th Day, The";2004;92;NA;6,4;502
"33";"25th Hour";2002;135;15000000;7,8;15788
"34";"28 Days";2000;103;43000000;6;7465
"35";"28 Days Later...";2002;113;8000000;7,3;24174
"36";"29 Palms";2002;93;NA;4,7;406
"37";"2BPerfectlyHonest";2004;88;NA;7,3;17
"38";"3 Ninjas Knuckle Up";1995;85;NA;2,9;324
"39";"3 Ninjas: High Noon at Mega Mountain";1998;93;NA;2,2;744
"40";"3-Way";2004;88;NA;4,6;177
"41";"30 Years to Life";2001;110;NA;5,1;42
"42";"3000 Miles to Graceland";2001;125;62000000;5,4;7298
"43";"40 Days and 40 Nights";2002;96;17000000;5,4;8609
"44";"4th Floor, The";1999;90;NA;5,7;1088
"45";"4th Tenor, The";2002;97;NA;4,2;71
"46";"50 First Dates";2004;99;75000000;6,8;13497
"47";"51st State, The";2001;92;28000000;6,1;6752
"48";"54";1998;100;13000000;5,4;6905
"49";"5x2";2004;90;NA;6,6;691
"50";"6th Day, The";2000;123;82000000;5,9;12064
"51";"8 Heads in a Duffel Bag";1997;94;NA;4,8;2076
"52";"8 Mile";2002;110;41000000;6,8;17900
"53";"8 femmes";2002;111;NA;7,1;5503
"54";"800 balas";2002;124;NA;6,5;404
"55";"8MM";1999;123;40000000;5,9;18541
"56";"A.k.a. Cassius Clay";1970;85;NA;5,7;43
"57";"AKA";2002;123;NA;6;335
"58";"AVP: Alien Vs. Predator";2004;102;45000000;5,4;14651
"59";"Abandon";2002;99;25000000;4,7;2364
"60";"Abendland";1999;146;NA;5;46
"61";"Aberration";1997;93;NA;4,8;149
"62";"Abilene";1999;104;NA;4,9;42
"63";"Ablaze";2001;97;NA;3,6;98
"64";"Abominable Dr. Phibes, The";1971;94;NA;6,7;1547
"65";"About Adam";2000;105;NA;6,4;1303
"66";"About Schmidt";2002;125;30000000;7,3;23279
"67";"About a Boy";2002;101;27000000;7,5;18318
"68";"Above Suspicion";1995;95;NA;6,4;394
"69";"Above Suspicion";2000;92;NA;5,8;128
"70";"Abre los ojos";1997;117;NA;7,8;8087
"71";"Absolon";2003;96;8000000;4,1;548
"72";"Absolute Power";1997;121;50000000;6,4;7995
"73";"Abuelo, El";1998;147;NA;7,7;423
"74";"Abyss, The";1989;171;69500000;7,4;21987
"75";"Access Denied";1997;95;NA;3,8;43
"76";"According to Spencer";2001;95;NA;4,1;124
"77";"Ace Ventura: Pet Detective";1994;86;12000000;6,2;20705
"78";"Ace Ventura: When Nature Calls";1995;90;30000000;4,9;15161
"79";"Achilles' Love";2000;90;NA;4,4;20
"80";"Action League Now!!: Rock-A-Big-Baby";1997;5;NA;2,8;26
"81";"Active Stealth";1999;99;NA;3;146
"82";"Actors, The";2003;91;NA;5,6;211
"83";"Acts of Worship";2001;94;NA;6,2;43
"84";"Adam & Evil";2004;90;NA;3,4;81
"85";"Adam at 6 A.M.";1970;100;NA;5,8;61
"86";"Adaptation.";2002;114;19000000;7,9;25140
"87";"Addicted to Love";1997;100;NA;6;5445
"88";"Address Unknown";1997;92;NA;4,9;80
"89";"Adrenalin: Fear the Rush";1996;88;NA;3,5;664
"90";"Adventures of Pluto Nash, The";2002;95;100000000;3,9;2543
"91";"Adventures of Robin Hood, The";1938;102;1900000;8,2;7359
"92";"Adventures of Rocky & Bullwinkle, The";2000;88;76000000;4,3;4815
"93";"Adventures of Sebastian Cole, The";1998;99;NA;6,5;579
"94";"Affair of the Necklace, The";2001;118;NA;6;963
"95";"Affliction";1997;114;6000000;6,9;3679
"96";"After Alice";1999;100;NA;5,3;446
"97";"After Image";2001;92;1200000;3,9;60
"98";"After the Sunset";2004;97;58000000;6;3431
"99";"Afterglow";1997;113;NA;6,1;1169
"100";"Against the Ropes";2004;111;NA;5,2;1058
"101";"Agent Cody Banks";2003;102;26000000;5,5;2655
"102";"Agent Cody Banks 2: Destination London";2004;100;26000000;3,8;919
"103";"Agnes Browne";1999;92;NA;6;572
"104";"Agronomist, The";2003;90;NA;7,3;146
"105";"Ai no borei";1978;104;NA;6,3;230
"106";"Aileen Wuornos: The Selling of a Serial Killer";1992;87;NA;7;180
"107";"Aileen: Life and Death of a Serial Killer";2003;89;NA;7,2;430
"108";"Air Bud";1997;98;3000000;4,7;1276
"109";"Air Force One";1997;124;85000000;6,3;26156
"110";"Air Marshal";2003;90;500000;3;81
"111";"Airheads";1994;92;NA;5,5;6105
"112";"Airspeed";1998;93;NA;3;386
"113";"Akira";1988;124;NA;7,7;14840
"114";"Alamo, The";2004;137;95000000;5,9;3060
"115";"Alan Smithee Film: Burn Hollywood Burn, An";1997;86;10000000;3,2;1262
"116";"Alaska";1996;109;NA;5,6;891
"117";"Albino Alligator";1996;97;5000000;6;2077
"118";"Alex & Emma";2003;96;NA;5,3;2176
"119";"Alex in Wonder";2001;96;NA;6,3;30
"120";"Alexander";2004;175;150000000;5,5;11254
"121";"Alferd Packer: The Musical";1996;97;125000;7;2298
"122";"Alfie";2004;103;60000000;6;3492
"123";"Ali";2001;165;107000000;6,4;9294
"124";"Ali G Indahouse";2002;88;NA;5,8;4496
"125";"Alice et Martin";1998;124;NA;6,4;604
"126";"Alien";1979;116;11000000;8,3;63400
"127";"Alien Abduction";2005;90;600000;1,9;73
"128";"Alien Escape";1997;85;1000000;5,6;23
"129";"Alien Hunter";2003;92;NA;5;563
"130";"Alien: Resurrection";1997;116;70000000;6;24358
"131";"Aliens";1986;154;18500000;8,3;63961
"132";"Aliens in the Wild Wild West";1999;90;NA;2,9;58
"133";"Alive";2004;85;NA;3,9;32
"134";"All About You";2001;100;NA;6,2;30
"135";"All About the Benjamins";2002;95;14000000;5,4;1250
"136";"All Babes Want to Kill Me";2004;82;NA;8,1;47
"137";"All Forgotten";2000;106;NA;4,5;139
"138";"All New Adventures of Laurel & Hardy: For Love or Mummy, The";1999;85;NA;3,1;112
"139";"All Night Bodega";2002;90;NA;5,7;24
"140";"All Over Me";1997;90;NA;6,9;600
"141";"All Over the Guy";2001;95;NA;6,4;1039
"142";"All the Little Animals";1998;112;NA;6,6;289
"143";"All the Pretty Horses";2000;116;45000000;5,6;3133
"144";"All the Queen's Men";2001;105;25000000;5;353
"145";"All the Rage";1999;99;NA;5,7;670
"146";"All the Real Girls";2003;108;1000000;6,8;1745
"147";"Allyson Is Watching";1997;90;NA;4,7;105
"148";"Almost Famous";2000;162;60000000;8;38648
"149";"Almost Heroes";1998;90;NA;4,5;1944
"150";"Almost Salinas";2001;92;NA;6,4;81
"151";"Alone";2002;110;NA;4,6;232
"152";"Alone in the Dark";2005;96;20000000;2,1;2880
"153";"Alone in the Woods";1996;92;NA;3,6;48
"154";"Alone with a Stranger";2000;90;NA;5,3;60
"155";"Along Came Polly";2004;90;42000000;5,8;9785
"156";"Along Came a Spider";2001;104;28000000;6,1;9456
"157";"Altered Species";2001;91;NA;2,7;80
"158";"Amadeus";1984;180;18000000;8,3;36955
"159";"Amandla! A Revolution In Four Part Harmony";2002;108;NA;7,3;162
"160";"Amant, L'";1992;111;NA;6,5;2046
"161";"Amants du Pont-Neuf, Les";1991;125;NA;7,4;1564
"162";"Amar te duele";2002;104;NA;7,1;102
"163";"Amati Girls, The";2000;91;NA;3,4;161
"164";"Amazing Panda Adventure, The";1995;81;NA;5,5;304
"165";"Amazons and Gladiators";2001;89;NA;4;233
"166";"America's Sweethearts";2001;102;48000000;5,8;11849
"167";"American Adobo";2001;104;NA;4,3;78
"168";"American Beauty";1999;121;15000000;8,5;109991
"169";"American Chai";2001;92;NA;6,1;148
"170";"American Dragons";1998;91;NA;4,3;173
"171";"American Gun";2002;89;NA;6;267
"172";"American History X";1998;119;10000000;8,4;59677
"173";"American Movie: The Making of Northwestern";1999;107;NA;7,5;3421
"174";"American Outlaws";2001;94;35000000;5,5;2878
"175";"American Perfekt";1997;100;NA;5,9;433
"176";"American Pie";1999;95;11000000;6,8;41126
"177";"American Pie 2";2001;105;30000000;6,3;22752
"178";"American President, The";1995;114;62000000;6,9;11834
"179";"American Psycho";2000;102;8000000;6,8;21639
"180";"American Rhapsody, An";2001;106;NA;7;732
"181";"American Splendor";2003;101;NA;7,8;8530
"182";"American Strays";1996;97;NA;5,2;238
"183";"American Vampire Story, An";1997;99;NA;2,1;149
"184";"American Virgin";2000;88;NA;3,7;506
"185";"American Wedding";2003;103;55000000;6,3;13590
"186";"American Werewolf in Paris, An";1997;105;22000000;5;4302
"187";"Amistad";1997;152;40000000;7;10543
"188";"Amityville Horror, The";2005;90;18000000;5,8;2945
"189";"Among Giants";1998;93;NA;5,4;334
"190";"Amores perros";2000;153;2000000;8,2;15079
"191";"Amy";1998;104;NA;7;252
"192";"Amy's Orgasm";2001;87;NA;5,3;519
"193";"Anacondas: The Hunt for the Blood Orchid";2004;97;25000000;4,2;2258
"194";"Analyze That";2002;96;NA;5,5;6863
"195";"Analyze This";1999;109;30000000;6,6;24521
"196";"Anarchist Cookbook, The";2002;101;NA;5,5;318
"197";"Anarchy TV";1998;87;NA;4,7;84
"198";"Anatomie";2000;103;NA;6,1;2501
"199";"Anatomie 2";2003;101;NA;5,5;582
"200";"Anazahevun";2000;132;NA;6,1;211
"201";"Anchorman: The Legend of Ron Burgundy";2004;104;26000000;6,5;11553
"202";"Ancient Evil: Scream of the Mummy";2000;96;NA;1,9;276
"203";"Ancient Warriors";2001;93;NA;3,8;42
"204";"And Now... Ladies and Gentlemen...";2002;122;NA;5,8;413
"205";"Andromina: The Pleasure Planet";1999;92;NA;3,4;62
"206";"Angel Eyes";2001;102;38000000;5,6;4829
"207";"Angel Unchained";1970;92;NA;4,7;39
"208";"Angel's Dance";1999;101;NA;5,8;333
"209";"Angela";2002;91;NA;5,8;79
"210";"Angels & Insects";1995;116;NA;6,9;1357
"211";"Angels in the Attic";1998;86;NA;5,4;73
"212";"Anger Management";2003;106;75000000;6;14280
"213";"Anglaise et le duc, L'";2001;125;NA;6,8;604
"214";"Angus";1995;90;NA;6,3;1419
"215";"Animal Factory";2000;94;NA;6,5;2118
"216";"Animal Instincts III";1996;96;NA;3,7;99
"217";"Animal Room";1995;98;NA;5,4;70
"218";"Animal, The";2001;84;22000000;4,8;5605
"219";"Animatrix: Final Flight of the Osiris, The";2003;11;5000000;7,6;1536
"220";"Anna Karenina";1997;108;NA;5,6;706
"221";"Anna and the King";1999;148;75000000;6,6;6739
"222";"Annihilation of Fish, The";1999;108;NA;5,5;47
"223";"Anniversary Party, The";2001;115;NA;6,4;3057
"224";"Another Day in Paradise";1998;101;NA;6,3;1872
"225";"Antitrust";2001;108;30000000;6;7326
"226";"Antonia";1995;102;NA;7,4;2320
"227";"Antwone Fisher";2002;117;12500000;7,4;4472
"228";"Antz";1998;83;60000000;7;16312
"229";"Any Given Sunday";1999;156;62000000;6,4;19531
"230";"Anything Else";2003;108;18000000;6,5;3678
"231";"Anywhere But Here";1999;114;23000000;5,9;4007
"232";"Apocalypse Now";1979;202;31500000;8,5;64785
"233";"Apocalypse, The";1997;96;NA;2,5;106
"234";"Apollo 13";1995;140;62000000;7,5;41098
"235";"Apostle, The";1997;134;5000000;7,2;4231
"236";"Appetite";1998;97;NA;4,4;52
